uuid,entity_type,entity_text
be053603-b091-4964-a2c4-2299c9e9373f,3,Maryland
9d9c3e1f-1126-4779-b84c-f841a82753b3,1,Network Build and Maintenance Agreement
9d9c3e1f-1126-4779-b84c-f841a82753b3,2,AT&T Mobility LLC
9d9c3e1f-1126-4779-b84c-f841a82753b3,2,"Commnet Wireless, LLC"
9d9c3e1f-1126-4779-b84c-f841a82753b3,4,7/31/2019
9d9c3e1f-1126-4779-b84c-f841a82753b3,5,7/31/2019
9d9c3e1f-1126-4779-b84c-f841a82753b3,6,
9d9c3e1f-1126-4779-b84c-f841a82753b3,3,New York
d221e02a-c220-4bab-b908-7da46861ea82,1,MASTER OPERATION AND MAINTENANCE AGREEMENT
d221e02a-c220-4bab-b908-7da46861ea82,2,"DIAMOND STATE GENERATION PARTNERS, LLC"
d221e02a-c220-4bab-b908-7da46861ea82,2,BLOOM ENERGY CORPORATION
d221e02a-c220-4bab-b908-7da46861ea82,4,4/13/2012
d221e02a-c220-4bab-b908-7da46861ea82,5,
d221e02a-c220-4bab-b908-7da46861ea82,6,
d221e02a-c220-4bab-b908-7da46861ea82,3,New York
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,1,TURN - KEY MANUFACTURING AGREEMENT
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,2,FLEXTRONICS ISRAEL LTD.
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,2,INVASIX LTD.
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,4,1/4/2011
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,5,1/4/2011
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,6,
9c1630f2-4cdb-423f-89c5-7ecd574ab00d,3,Israel
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,1,PRODUCT MANUFACTURING AGREEMENT
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,2,Dexcel Ltd.
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,2,KITOV Pharma Ltd.
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,4,
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,5,
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,6,
b8d23826-17b6-4dd9-8b33-41b3ba5b6bf6,3,Israel
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,1,MANUFACTURING AND SUPPLY AGREEMENT
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,2,Upjohn Inc.
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,2,Pfizer Inc.
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,4,
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,5,
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,6,4/4/2026
3344cd1d-5cfc-4e7c-90c9-87fb5a24327f,3,Delaware
a56da24d-30cf-47a3-aa99-091d1f926b37,1,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2)
a56da24d-30cf-47a3-aa99-091d1f926b37,2,MediaCo Holding Inc.
a56da24d-30cf-47a3-aa99-091d1f926b37,2,WBLS-WLIB LLC
a56da24d-30cf-47a3-aa99-091d1f926b37,4,11/25/2019
a56da24d-30cf-47a3-aa99-091d1f926b37,5,11/25/2019
a56da24d-30cf-47a3-aa99-091d1f926b37,6,12/31/2022
a56da24d-30cf-47a3-aa99-091d1f926b37,3,Indiana
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,1,MARKETING AND RESELLER AGREEMENT
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,2,Care G. B. Plus Ltd.
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,2,Todos Medical Ltd.
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,4,12/20/2018
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,5,12/20/2018
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,6,12/20/2023
a6ad2249-d24f-4d2d-b8e8-ec2af966fb06,3,Israel
306204ed-66be-44aa-abec-de88ba150df2,1,OUTSOURCING AGREEMENT
306204ed-66be-44aa-abec-de88ba150df2,2,"ESPACIO INFORMATION TECHNOLOGY, SA."
306204ed-66be-44aa-abec-de88ba150df2,2,SILICON SMELTERS
306204ed-66be-44aa-abec-de88ba150df2,4,1/1/2009
306204ed-66be-44aa-abec-de88ba150df2,5,1/1/2009
306204ed-66be-44aa-abec-de88ba150df2,6,
306204ed-66be-44aa-abec-de88ba150df2,3,Spain
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,1,Outsourcing Contract on Development of Miaoli Royal Resort Hotel
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,2,Party A
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,2,Party B
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,2,The HUANG JIA Country CLUB and Recreation Inc.
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,2,Chang Chen- Bin Architects Office
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,4,10/29/2015
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,5,
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,6,
71f3a4f2-25f4-4b3a-bef6-e51d6bce2abd,3,R.O.C.
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,1,Outsourcing Agreement CARBOGEN AMCIS AG
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,2,CARBOGEN AMCIS AG
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,2,"Paratek Pharmaceuticals, Inc."
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,4,12/30/2016
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,5,12/30/2016
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,6,
a761f85c-88e3-48c2-aa7c-60bd9ebee74b,3,
42c50ca3-4f96-4eb0-a0d3-644851566620,1,OUTSOURCING AGREEMENT
42c50ca3-4f96-4eb0-a0d3-644851566620,2,"Xiamen American Japan Photronics Mask Co., Ltd."
42c50ca3-4f96-4eb0-a0d3-644851566620,2,"Photronics, Inc."
42c50ca3-4f96-4eb0-a0d3-644851566620,2,"Dai Nippon Printing Co., Ltd."
42c50ca3-4f96-4eb0-a0d3-644851566620,4,5/16/2017
42c50ca3-4f96-4eb0-a0d3-644851566620,5,
42c50ca3-4f96-4eb0-a0d3-644851566620,6,
42c50ca3-4f96-4eb0-a0d3-644851566620,3,
8de890c8-089e-4501-b722-f4a373e29e0d,1,COLOGUARD® PROMOTION AGREEMENT
8de890c8-089e-4501-b722-f4a373e29e0d,2,Exact Sciences Corporation
8de890c8-089e-4501-b722-f4a373e29e0d,2,Pfizer Inc.
8de890c8-089e-4501-b722-f4a373e29e0d,4,8/21/2018
8de890c8-089e-4501-b722-f4a373e29e0d,5,8/21/2018
8de890c8-089e-4501-b722-f4a373e29e0d,6,12/31/2021
8de890c8-089e-4501-b722-f4a373e29e0d,3,New York
c9343104-1ca9-4794-9f08-89f6b07831cd,1,CO-PROMOTION AGREEMENT
c9343104-1ca9-4794-9f08-89f6b07831cd,2,"Dova Pharmaceuticals, Inc."
c9343104-1ca9-4794-9f08-89f6b07831cd,2,Valeant Pharmaceuticals North America LLC
c9343104-1ca9-4794-9f08-89f6b07831cd,4,9/26/2018
c9343104-1ca9-4794-9f08-89f6b07831cd,5,9/26/2018
c9343104-1ca9-4794-9f08-89f6b07831cd,6,9/26/2022
c9343104-1ca9-4794-9f08-89f6b07831cd,3,
15e1cb28-1906-4591-9a22-5cf078d4c6a9,1,PROMOTION AGREEMENT
15e1cb28-1906-4591-9a22-5cf078d4c6a9,2,Promoter
15e1cb28-1906-4591-9a22-5cf078d4c6a9,2,"VNUE, Inc."
15e1cb28-1906-4591-9a22-5cf078d4c6a9,4,9/10/2015
15e1cb28-1906-4591-9a22-5cf078d4c6a9,5,9/10/2015
15e1cb28-1906-4591-9a22-5cf078d4c6a9,6,9/10/2016
15e1cb28-1906-4591-9a22-5cf078d4c6a9,3,Nevada
808ac605-2133-4e4a-92c3-575be9ee4b0c,1,PROMOTION AGREEMENT MMT
808ac605-2133-4e4a-92c3-575be9ee4b0c,2,"MERIDIAN MEDICAL TECHNOLOGIES, INC."
808ac605-2133-4e4a-92c3-575be9ee4b0c,2,"SIGA TECHNOLOGIES, INC."
808ac605-2133-4e4a-92c3-575be9ee4b0c,4,5/31/2019
808ac605-2133-4e4a-92c3-575be9ee4b0c,5,5/31/2019
808ac605-2133-4e4a-92c3-575be9ee4b0c,6,5/31/2024
808ac605-2133-4e4a-92c3-575be9ee4b0c,3,New York
332d555b-df78-4a55-8ede-e4eb9cb73715,1,FORM OF SUB-RESELLER AGREEMENT
332d555b-df78-4a55-8ede-e4eb9cb73715,2,"salesforce.com, inc."
332d555b-df78-4a55-8ede-e4eb9cb73715,2,Salesforce.org
332d555b-df78-4a55-8ede-e4eb9cb73715,4,
332d555b-df78-4a55-8ede-e4eb9cb73715,5,
332d555b-df78-4a55-8ede-e4eb9cb73715,6,
332d555b-df78-4a55-8ede-e4eb9cb73715,3,
d701f2b0-7687-40f1-9555-8fb003d0bce7,1,CHANNEL PARTNER RESELLER AGREEMENT
d701f2b0-7687-40f1-9555-8fb003d0bce7,2,iPass
d701f2b0-7687-40f1-9555-8fb003d0bce7,2,Pareteum Corporation
d701f2b0-7687-40f1-9555-8fb003d0bce7,4,04/25/2018
d701f2b0-7687-40f1-9555-8fb003d0bce7,5,04/25/2018
d701f2b0-7687-40f1-9555-8fb003d0bce7,6,04/25/2019
d701f2b0-7687-40f1-9555-8fb003d0bce7,3,California
4472d042-c4bb-454b-a34c-bcfd88d73db2,1,DISTRIBUTION AND SERVICES AGREEMENT
4472d042-c4bb-454b-a34c-bcfd88d73db2,2,Integrity Short Term Government Fund
4472d042-c4bb-454b-a34c-bcfd88d73db2,2,"Integrity Funds Distributor, LLC"
4472d042-c4bb-454b-a34c-bcfd88d73db2,4,1/18/2020
4472d042-c4bb-454b-a34c-bcfd88d73db2,5,1/18/2020
4472d042-c4bb-454b-a34c-bcfd88d73db2,6,1/18/2022
4472d042-c4bb-454b-a34c-bcfd88d73db2,3,Kansas
7eed4218-3ce4-451a-a234-d443fffded03,1,TRANSITION SERVICES AGREEMENT
7eed4218-3ce4-451a-a234-d443fffded03,2,Reynolds Group Holdings Inc.
7eed4218-3ce4-451a-a234-d443fffded03,2,Reynolds Consumer Products Inc.
7eed4218-3ce4-451a-a234-d443fffded03,4,2020
7eed4218-3ce4-451a-a234-d443fffded03,5,2020
7eed4218-3ce4-451a-a234-d443fffded03,6,12/2021
7eed4218-3ce4-451a-a234-d443fffded03,3,Illinois
1c5c62c4-80c3-4440-852b-7dd33a2b664e,1,JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT
1c5c62c4-80c3-4440-852b-7dd33a2b664e,2,"Jacksonville Jaguars, LLC"
1c5c62c4-80c3-4440-852b-7dd33a2b664e,2,"The ARC Group, Inc."
1c5c62c4-80c3-4440-852b-7dd33a2b664e,4,11/27/2017
1c5c62c4-80c3-4440-852b-7dd33a2b664e,5,4/1/2018
1c5c62c4-80c3-4440-852b-7dd33a2b664e,6,2/28/2023
1c5c62c4-80c3-4440-852b-7dd33a2b664e,3,
7ab64551-75bf-4ba7-bb36-2062e47617cc,1,EVENT SPONSORSHIP AGREEMENT
7ab64551-75bf-4ba7-bb36-2062e47617cc,2,Newegg Inc.
7ab64551-75bf-4ba7-bb36-2062e47617cc,2,"Allied Esports International, Inc."
7ab64551-75bf-4ba7-bb36-2062e47617cc,4,2/1/2019
7ab64551-75bf-4ba7-bb36-2062e47617cc,5,2/1/2019
7ab64551-75bf-4ba7-bb36-2062e47617cc,6,1/31/2024
7ab64551-75bf-4ba7-bb36-2062e47617cc,3,California
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,1,GLOBAL MASTER SUPPLY AGREEMENT
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,2,Buyer
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,2,ExxonMobil Chemical Company
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,2,"West Pharmaceutical Services, Inc."
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,4,1/10/2020
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,5,1/1/2019
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,6,12/31/2023
d6ee95e9-e84c-44c7-a8a3-c5383c3772e6,3,Texas # Singapore # Belgium
a6b94e35-a748-4c65-b753-08e8a59fc170,1,TRADEMARK LICENSE AGREEMENT
a6b94e35-a748-4c65-b753-08e8a59fc170,2,Licensor
a6b94e35-a748-4c65-b753-08e8a59fc170,2,Morgan Stanley Investment Management Inc.
a6b94e35-a748-4c65-b753-08e8a59fc170,4,
a6b94e35-a748-4c65-b753-08e8a59fc170,5,
a6b94e35-a748-4c65-b753-08e8a59fc170,6,
a6b94e35-a748-4c65-b753-08e8a59fc170,3,New York
54366357-f15c-4070-81ed-bacd55d8065d,1,Road Transportation Agreement
54366357-f15c-4070-81ed-bacd55d8065d,2,"ZTO Express Co., Ltd."
54366357-f15c-4070-81ed-bacd55d8065d,2,Tonglu Tongze Logistics Ltd.
54366357-f15c-4070-81ed-bacd55d8065d,4,12/22/2014
54366357-f15c-4070-81ed-bacd55d8065d,5,12/22/2014
54366357-f15c-4070-81ed-bacd55d8065d,6,
54366357-f15c-4070-81ed-bacd55d8065d,3,
68334b48-6706-4c8f-ba29-db0bbd4fdaff,1,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT ACSI"
68334b48-6706-4c8f-ba29-db0bbd4fdaff,2,Audible Inc.
68334b48-6706-4c8f-ba29-db0bbd4fdaff,2,"Amazon.com Commerce Services, Inc."
68334b48-6706-4c8f-ba29-db0bbd4fdaff,4,1/30/2000
68334b48-6706-4c8f-ba29-db0bbd4fdaff,5,1/30/2000
68334b48-6706-4c8f-ba29-db0bbd4fdaff,6,
68334b48-6706-4c8f-ba29-db0bbd4fdaff,3,Washington
aafb10f1-0e27-41d4-9328-760b5b57cfb1,1,CO-BRANDING AGREEMENT
aafb10f1-0e27-41d4-9328-760b5b57cfb1,2,"Snap Technologies, Inc."
aafb10f1-0e27-41d4-9328-760b5b57cfb1,2,"United Airlines, Inc."
aafb10f1-0e27-41d4-9328-760b5b57cfb1,4,6/8/1999
aafb10f1-0e27-41d4-9328-760b5b57cfb1,5,6/8/1999
aafb10f1-0e27-41d4-9328-760b5b57cfb1,6,12/31/2000
aafb10f1-0e27-41d4-9328-760b5b57cfb1,3,California
30740868-5eee-4bfa-bf03-53a89f525036,1,CO-BRANDING AGREEMENT
30740868-5eee-4bfa-bf03-53a89f525036,2,Impresse Corporation
30740868-5eee-4bfa-bf03-53a89f525036,2,"VerticalNet, Inc."
30740868-5eee-4bfa-bf03-53a89f525036,4,3/3/2000
30740868-5eee-4bfa-bf03-53a89f525036,5,3/3/2000
30740868-5eee-4bfa-bf03-53a89f525036,6,6/3/2001
30740868-5eee-4bfa-bf03-53a89f525036,3,Delaware
17246fb1-0c9d-478d-9cb1-1081e270a2aa,1,CO-BRANDING AGREEMENT
17246fb1-0c9d-478d-9cb1-1081e270a2aa,2,At Home Corporation
17246fb1-0c9d-478d-9cb1-1081e270a2aa,2,"e-centives, Inc."
17246fb1-0c9d-478d-9cb1-1081e270a2aa,4,2/16/2000
17246fb1-0c9d-478d-9cb1-1081e270a2aa,5,2/16/2000
17246fb1-0c9d-478d-9cb1-1081e270a2aa,6,2/16/2003
17246fb1-0c9d-478d-9cb1-1081e270a2aa,3,California
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,1,CO-BRANDING AGREEMENT
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,2,Lucent Technologies Inc.
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,2,mPhase Technologies Inc.
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,4,1/21/2003
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,5,1/21/2003
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,6,1/21/2004
dd38282b-c1fe-4a48-ad31-fc90c9c6467c,3,New York
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,1,CO-BRANDING AGREEMENT
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,2,VerticalNet
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,2,LeadersOnline
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,2,"VerticalNet, Inc."
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,2,"LeadersOnline, Inc."
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,4,3/15/2000
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,5,3/15/2000
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,6,6/15/2001
be8bc390-85c8-4bd4-a6c8-0ce5bdeeac64,3,Pennsylvania
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,1,CO-BRANDING AGREEMENT
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,2,"PaperExchange.com, LLC"
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,2,"VerticalNet, Inc."
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,4,9/30/1999
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,5,9/30/1999
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,6,9/29/2003
1c329c8f-1eb9-4ff1-84a9-079a9e5f0d47,3,Pennsylvania
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,1,CO-BRANDING AGREEMENT (FORM) NETTAXI
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,2,SpinRecords.com
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,2,"NETTAXI Online Communities, Inc."
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,4,11/5/1999
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,5,11/5/1999
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,6,11/5/2000
8aaf888e-b8f0-4f15-9b06-bc1a69e196e5,3,California
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,1,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT MBE
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,2,"iShip.com, Inc."
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,2,"MAILBOXES ETC. USA, INC."
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,4,4/27/1999
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,5,4/27/1999
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,6,4/27/2004
3e371551-1aed-42c5-8ff8-1a51ff66c4c4,3,California
836ca91b-e82a-4025-b76c-a0144b4d3274,1,CHASE AFFILIATE AGREEMENT
836ca91b-e82a-4025-b76c-a0144b4d3274,2,"Chase Bank USA, N.A."
836ca91b-e82a-4025-b76c-a0144b4d3274,2,you
836ca91b-e82a-4025-b76c-a0144b4d3274,4,4/6/2007
836ca91b-e82a-4025-b76c-a0144b4d3274,5,
836ca91b-e82a-4025-b76c-a0144b4d3274,6,
836ca91b-e82a-4025-b76c-a0144b4d3274,3,Delaware
429ed7a1-1cf7-4feb-a2d8-8b5b6e30bca8,1,NETWORK AFFILIATE AGREEMENT
429ed7a1-1cf7-4feb-a2d8-8b5b6e30bca8,2,Digital Cinema Destinations Corp.
429ed7a1-1cf7-4feb-a2d8-8b5b6e30bca8,2,NCM
